wpPostId,title,slug,url,parentId,mimeType,width,height,attachedFile
484,W_CarlosRios,w_carlosrios-2,https://editoriallarueca.com/wp-content/uploads/W_CarlosRios.jpg,,image/jpeg,1417,1984,W_CarlosRios.jpg
485,W_CarlosRios,w_carlosrios-3,https://editoriallarueca.com/wp-content/uploads/W_CarlosRios-1.jpg,,image/jpeg,1417,1984,W_CarlosRios-1.jpg
488,w_LaRana,w_larana,https://editoriallarueca.com/wp-content/uploads/w_LaRana.jpg,,image/jpeg,1417,2124,w_LaRana.jpg
490,w_DeKolpino,w_dekolpino,https://editoriallarueca.com/wp-content/uploads/w_DeKolpino.jpg,,image/jpeg,1417,2014,w_DeKolpino.jpg
491,w_DeKolpino,w_dekolpino-2,https://editoriallarueca.com/wp-content/uploads/w_DeKolpino-1.jpg,,image/jpeg,1417,2014,w_DeKolpino-1.jpg
492,w_DeKolpino,w_dekolpino-3,https://editoriallarueca.com/wp-content/uploads/w_DeKolpino-2.jpg,,image/jpeg,1417,2014,w_DeKolpino-2.jpg
496,W_campos_de_dispersión_ascéticA,w_campos_de_dispersion_ascetica,https://editoriallarueca.com/wp-content/uploads/W_campos_de_dispersion_asceticA.jpg,,image/jpeg,1681,2560,W_campos_de_dispersion_asceticA-scaled.jpg
497,w_campos_de_dispersión_ascética_VA,w_campos_de_dispersion_ascetica_va,https://editoriallarueca.com/wp-content/uploads/w_campos_de_dispersion_ascetica_VA.tif,,,,,w_campos_de_dispersion_ascetica_VA.tif
498,w_campos_de_dispersión_ascética_VA,w_campos_de_dispersion_ascetica_va-2,https://editoriallarueca.com/wp-content/uploads/w_campos_de_dispersion_ascetica_VA.jpg,,image/jpeg,1676,2560,w_campos_de_dispersion_ascetica_VA-scaled.jpg
500,RRSS_Requiem,rrss_requiem,https://editoriallarueca.com/wp-content/uploads/RRSS_Requiem.jpg,,image/jpeg,2560,1707,RRSS_Requiem-scaled.jpg
501,w_Requiem,w_requiem,https://editoriallarueca.com/wp-content/uploads/w_Requiem.jpg,,image/jpeg,1417,2082,w_Requiem.jpg
504,w_Espiral,w_espiral,https://editoriallarueca.com/wp-content/uploads/w_Espiral.jpg,,image/jpeg,1417,1997,w_Espiral.jpg
506,W_ElValle_Guillermo,w_elvalle_guillermo,https://editoriallarueca.com/wp-content/uploads/w_ElValle_Guillermo.jpg,,image/jpeg,1781,2560,w_ElValle_Guillermo-scaled.jpg
510,w_Infinita_Norberto,w_infinita_norberto,https://editoriallarueca.com/wp-content/uploads/w_Infinita_Norberto.jpg,,image/jpeg,1743,2560,w_Infinita_Norberto-scaled.jpg
512,mar_AF_cub_corre_TomatesVGA,mar_af_cub_corre_tomatesvga,https://editoriallarueca.com/wp-content/uploads/w_cub_corre_TomatesVGA.jpg,,image/jpeg,1743,2560,w_cub_corre_TomatesVGA-scaled.jpg
515,W_cub_Monstruo,w_cub_monstruo,https://editoriallarueca.com/wp-content/uploads/W_cub_Monstruo.jpg,,image/jpeg,1733,2560,W_cub_Monstruo-scaled.jpg
518,W_CUB_LA LISTA DE TAREAS _ELR,w_cub_la-lista-de-tareas-_elr,https://editoriallarueca.com/wp-content/uploads/W_CUB_LA-LISTA-DE-TAREAS-_ELR.jpg,,image/jpeg,1746,2560,W_CUB_LA-LISTA-DE-TAREAS-_ELR-scaled.jpg
521,w_PadreInaki,w_padreinaki,https://editoriallarueca.com/wp-content/uploads/w_PadreInaki.jpg,,image/jpeg,1890,1985,w_PadreInaki.jpg
528,icon-presentacion-red,icon-presentacion-red,https://editoriallarueca.com/wp-content/uploads/icon-presentacion-red.svg,,,150,150,icon-presentacion-red.svg
529,icon-presentacion,icon-presentacion,https://editoriallarueca.com/wp-content/uploads/icon-presentacion.svg,,,150,150,icon-presentacion.svg
531,foto-autor,foto-autor,https://editoriallarueca.com/wp-content/uploads/foto-autor.jpg,,image/jpeg,400,500,foto-autor.jpg
532,foto-libro,foto-libro,https://editoriallarueca.com/wp-content/uploads/foto-libro.jpg,,image/jpeg,1000,667,foto-libro.jpg
533,UnbuenLibro,unbuenlibro,https://editoriallarueca.com/wp-content/uploads/UnbuenLibro.jpg,,image/jpeg,2560,1707,UnbuenLibro-scaled.jpg
535,Book_crucePasos,book_crucepasos,https://editoriallarueca.com/wp-content/uploads/Book_crucePasos.jpg,,image/jpeg,2560,1707,Book_crucePasos-scaled.jpg
537,CartelTrofeoLaRueca004_Mesa de trabajo 1,carteltrofeolarueca004_mesa-de-trabajo-1,https://editoriallarueca.com/wp-content/uploads/CartelTrofeoLaRueca004_Mesa-de-trabajo-1.png,,image/png,1477,2067,CartelTrofeoLaRueca004_Mesa-de-trabajo-1.png
541,w_DesdeBCNconAmor_dibujo,w_desdebcnconamor_dibujo,https://editoriallarueca.com/wp-content/uploads/w_DesdeBCNconAmor_dibujo.jpg,,image/jpeg,1394,2560,w_DesdeBCNconAmor_dibujo-scaled.jpg
542,Book-ElPoder_Norberto,book-elpoder_norberto,https://editoriallarueca.com/wp-content/uploads/Book-ElPoder_Norberto.jpg,,image/jpeg,2560,1707,Book-ElPoder_Norberto-scaled.jpg
543,MockUp_Valle,mockup_valle,https://editoriallarueca.com/wp-content/uploads/MockUp_Valle.jpg,,image/jpeg,2560,1707,MockUp_Valle-scaled.jpg
544,RRSS_Espiral,rrss_espiral,https://editoriallarueca.com/wp-content/uploads/RRSS_Espiral.jpg,,image/jpeg,2560,1707,RRSS_Espiral-scaled.jpg
545,Single Hard Cover with Open Book Psd Mockup,single-hard-cover-with-open-book-psd-mockup,https://editoriallarueca.com/wp-content/uploads/MockUp_Campos.jpg,,image/jpeg,2560,1920,MockUp_Campos-scaled.jpg
546,Single Hard Cover with Open Book Psd Mockup,single-hard-cover-with-open-book-psd-mockup-2,https://editoriallarueca.com/wp-content/uploads/Mockup_Kolpino2.jpg,,image/jpeg,2560,1920,Mockup_Kolpino2-scaled.jpg
547,MockUp_LaTrenza,mockup_latrenza,https://editoriallarueca.com/wp-content/uploads/MockUp_LaTrenza.jpg,,image/jpeg,2560,1707,MockUp_LaTrenza-scaled.jpg
548,Single Hard Cover with Open Book Psd Mockup,single-hard-cover-with-open-book-psd-mockup-3,https://editoriallarueca.com/wp-content/uploads/Mockup_ComerBienEnCasa.jpg,,image/jpeg,2560,1920,Mockup_ComerBienEnCasa-scaled.jpg
549,Book-ElDelgado,book-eldelgado,https://editoriallarueca.com/wp-content/uploads/Book-ElDelgado.jpg,,image/jpeg,2560,1707,Book-ElDelgado-scaled.jpg
550,Book_Cover_Mockup_Salvaje,book_cover_mockup_salvaje,https://editoriallarueca.com/wp-content/uploads/Book_Cover_Mockup_Salvaje.jpg,,image/jpeg,2560,1810,Book_Cover_Mockup_Salvaje-scaled.jpg
551,MockUp_Halley,mockup_halley,https://editoriallarueca.com/wp-content/uploads/MockUp_Halley.jpg,,image/jpeg,2560,1707,MockUp_Halley-scaled.jpg
552,094-Desk-Top-5x8-Paperback-Book-Mockup-COVERVAULT,094-desk-top-5x8-paperback-book-mockup-covervault,https://editoriallarueca.com/wp-content/uploads/094-Desk-Top-5x8-Paperback-Book-Mockup-COVERVAULT.psd,,,,,094-Desk-Top-5x8-Paperback-Book-Mockup-COVERVAULT.psd
553,MockUp_Elazul,mockup_elazul,https://editoriallarueca.com/wp-content/uploads/MockUp_Elazul.jpg,,image/jpeg,2504,2560,MockUp_Elazul-scaled.jpg
554,MockUp_DesdeBCN,mockup_desdebcn,https://editoriallarueca.com/wp-content/uploads/MockUp_DesdeBCN.jpg,,image/jpeg,2504,2560,MockUp_DesdeBCN-scaled.jpg
555,MockUp_Dileamama,mockup_dileamama,https://editoriallarueca.com/wp-content/uploads/MockUp_Dileamama.jpg,,image/jpeg,2560,1707,MockUp_Dileamama-scaled.jpg
